Current Time,VR,Scene,SensPosX,SensPosY,SensPosZ,SensRotX,SensRotY,SensRotZ,InsectPosX,InsectPosY,InsectPosZ,InsectRotX,InsectRotY,InsectRotZ
2023-09-14 20:20:53.176,VR1,SimulatedLocusts,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-14 20:20:53.192,VR1,SimulatedLocusts,2.481245,-0.6813073,0,0,333.015,0,-0.6813073,0,2.481245,0,333.015,0
2023-09-14 20:20:53.209,VR1,SimulatedLocusts,2.495396,-0.6796513,0,0,332.7122,0,-0.6796513,0,2.495396,0,332.7122,0
2023-09-14 20:20:53.226,VR1,SimulatedLocusts,2.495396,-0.6796513,0,0,332.7122,0,-0.6796513,0,2.495396,0,332.7122,0
2023-09-14 20:20:53.242,VR1,SimulatedLocusts,2.514131,-0.7007708,0,0,332.35,0,-0.7007708,0,2.514131,0,332.35,0
2023-09-14 20:20:53.260,VR1,SimulatedLocusts,2.530288,-0.7037768,0,0,332.0721,0,-0.7037768,0,2.530288,0,332.0721,0
2023-09-14 20:20:53.276,VR1,SimulatedLocusts,2.547957,-0.7139581,0,0,332.0758,0,-0.7139581,0,2.547957,0,332.0758,0
2023-09-14 20:20:53.293,VR1,SimulatedLocusts,2.566484,-0.7212926,0,0,331.5088,0,-0.7212926,0,2.566484,0,331.5088,0
2023-09-14 20:20:53.309,VR1,SimulatedLocusts,2.585632,-0.7428837,0,0,331.269,0,-0.7428837,0,2.585632,0,331.269,0
2023-09-14 20:20:53.326,VR1,SimulatedLocusts,2.585632,-0.7428837,0,0,331.269,0,-0.7428837,0,2.585632,0,331.269,0
2023-09-14 20:20:53.344,VR1,SimulatedLocusts,2.597104,-0.7350093,0,0,330.8327,0,-0.7350093,0,2.597104,0,330.8327,0
2023-09-14 20:20:53.359,VR1,SimulatedLocusts,2.601879,-0.7409484,0,0,331.0629,0,-0.7409484,0,2.601879,0,331.0629,0
2023-09-14 20:20:53.376,VR1,SimulatedLocusts,2.62283,-0.7466337,0,0,330.5321,0,-0.7466337,0,2.62283,0,330.5321,0
2023-09-14 20:20:53.393,VR1,SimulatedLocusts,2.638939,-0.7508759,0,0,330.9111,0,-0.7508759,0,2.638939,0,330.9111,0
2023-09-14 20:20:53.409,VR1,SimulatedLocusts,2.653605,-0.7432702,0,0,330.3973,0,-0.7432702,0,2.653605,0,330.3973,0
2023-09-14 20:20:53.427,VR1,SimulatedLocusts,2.668451,-0.7706324,0,0,330.5448,0,-0.7706324,0,2.668451,0,330.5448,0
2023-09-14 20:20:53.443,VR1,SimulatedLocusts,2.668451,-0.7706324,0,0,330.5448,0,-0.7706324,0,2.668451,0,330.5448,0
2023-09-14 20:20:53.459,VR1,SimulatedLocusts,2.690602,-0.7573696,0,0,330.0731,0,-0.7573696,0,2.690602,0,330.0731,0
2023-09-14 20:20:53.476,VR1,SimulatedLocusts,2.712407,-0.779294,0,0,329.9391,0,-0.779294,0,2.712407,0,329.9391,0
2023-09-14 20:20:53.493,VR1,SimulatedLocusts,2.728687,-0.7952825,0,0,329.1348,0,-0.7952825,0,2.728687,0,329.1348,0
2023-09-14 20:20:53.511,VR1,SimulatedLocusts,2.747328,-0.7975464,0,0,329.3858,0,-0.7975464,0,2.747328,0,329.3858,0
2023-09-14 20:20:53.526,VR1,SimulatedLocusts,2.747328,-0.7975464,0,0,329.3858,0,-0.7975464,0,2.747328,0,329.3858,0
2023-09-14 20:20:53.542,VR1,SimulatedLocusts,2.761702,-0.8081723,0,0,328.911,0,-0.8081723,0,2.761702,0,328.911,0
2023-09-14 20:20:53.560,VR1,SimulatedLocusts,2.778694,-0.816174,0,0,328.9676,0,-0.816174,0,2.778694,0,328.9676,0
2023-09-14 20:20:53.576,VR1,SimulatedLocusts,2.781628,-0.8327078,0,0,328.7493,0,-0.8327078,0,2.781628,0,328.7493,0
2023-09-14 20:20:53.593,VR1,SimulatedLocusts,2.796313,-0.8307428,0,0,327.7345,0,-0.8307428,0,2.796313,0,327.7345,0
2023-09-14 20:20:53.609,VR1,SimulatedLocusts,2.818487,-0.8330052,0,0,327.7879,0,-0.8330052,0,2.818487,0,327.7879,0
